college_name,rating,location,courses_offered,tution_fee,exams_accepted,highest_package
IIT Madras (IITM),4.4,Tamil Nadu,B.Tech / B.E.,"₹ 8,92,000","JEE Advanced , JEE Main",95
Indian Institute of Technology (IITD),4,Delhi NCR,B.Tech / B.E.,"₹ 7,44,500","JEE Advanced , JEE Main",200
Indian Institute of Technology Bombay (IITB)- IIT Bombay,3.3,Maharashtra,B.Tech / B.E.,"₹ 12,96,500","JEE Advanced , JEE Main",367
"Indian Institute of Technology (IIT), Kanpur, Uttar Pradesh",4.1,Uttar Pradesh,B.Tech / B.E.,"₹ 7,96,500","JEE Advanced , JEE Main",99
Indian Institute of Technology- IIT Kharagpur (IITKGP),4.3,West Bengal,B.Tech / B.E.,"₹ 8,94,000","JEE Advanced , JEE Main",214
Indian Institute of Technology (IIT) Roorkee,4.9,Uttarakhand,B.Tech / B.E.,"₹ 6,80,000","JEE Advanced , JEE Main",130
IIT Hyderabad,4,Telangana,B.Tech / B.E.,"₹ 8,87,000","JEE Advanced , JEE Main",69
Indian Institute of Technology- IIT Guwahati,4.6,Assam,B.Tech / B.E.,"₹ 9,15,500","JEE Advanced , JEE Main",205
National Institute of Technology (NIT) Trichy,4.4,Tamil Nadu,B.Tech / B.E.,"₹ 8,69,000","JEE Main , JEE Advanced",70
IIT BHU,4.4,Uttar Pradesh,B.Tech / B.E.,"₹ 8,49,500","JEE Advanced , JEE Main",200
Birla Institute of Technology and Science (BITS),4.5,Telangana,B.Tech / B.E.,"₹ 10,00,000",BITSAT,61
Indian Institute of Technology (IIT),5,Madhya Pradesh,B.Tech / B.E.,"₹ 8,35,000","JEE Advanced , JEE Main",45
National Institute of Technology (NIT Rourkela),4.6,Odisha,B.Tech / B.E.,"₹ 6,46,000","JEE Main , JEE Advanced",85
SRM Institute of Science and Technology - SRM University,3.6,Uttar Pradesh,B.Tech / B.E.,Get Fee Details,SRMJEEE,22
Indian Institute of Technology (Indian School of Mines) (ISM),4.2,Jharkhand,B.Tech / B.E.,"₹ 4,13,000","JEE Advanced , JEE Main",25
Vellore Institute of Technology - Chennai (VIT Chennai),4.1,Tamil Nadu,B.Tech / B.E.,"₹ 6,67,500","JEE Main , VITEEE",65
National Institute of Technology (NIT) - Surathkal,4.8,Karnataka,B.Tech / B.E.,"₹ 5,46,500","JEE Main , JEE Advanced",31
Jadavpur University,4.5,West Bengal,B.Tech / B.E.,"₹ 27,000",WBJEE,140
Indian Institute of Technology (IIT),5,Bihar,B.Tech / B.E.,"₹ 8,56,000","JEE Advanced , JEE Main",39
Anna University - Chennai,4.1,Tamil Nadu,B.Tech / B.E.,"₹ 7,33,500",-,
Institute of Chemical Technology (ICT),3.4,Maharashtra,B.Tech / B.E.,"₹3,24,000","JEE Main, Maharashtra CET",10
Malaviya National Institute of Technology (MNIT),4.6,Rajasthan,B.Tech / B.E.,"₹6,72,000","JEE Main, JEE Advanced",60
UPES,3.9,Uttarakhand,B.Tech / B.E.,"₹11,12,000","JEE Main,",17
Visvesvaraya National Institute of Technology (VNIT),3.9,Maharashtra,B.Tech / B.E.,"₹5,00,000","JEE Main, JEE Advanced",12
Symbiosis International University (SIU),4,Maharashtra,B.Tech / B.E.,"₹2,90,000",-,
Sri Sivasubramaniya Nadar College of Engineering,3.7,Tamil Nadu,B.Tech / B.E.,Get Fee Details,JEE Main,10
Lovely Professional University,4.1,Punjab,B.Tech / B.E.,"₹14,40,000",-,
National Institute of Technology (NIT),3.7,West Bengal,B.Tech / B.E.,"₹2,66,500","JEE Main, JEE Advanced",51
National Institute of Technology- NIT,3.9,Assam,B.Tech / B.E.,"₹5,38,000","JEE Main, JEE Advanced",55
Birla Institute of Technology (BIT),4,Rajasthan,B.Tech / B.E.,Get Fee Details,JEE Main,10
Graphic Era University,3.4,Uttarakhand,B.Tech / B.E.,"₹9,67,000",JEE Main,12
National Institute of Technology (NIT),4,Bihar,B.Tech / B.E.,"₹5,26,500","JEE Main, JEE Advanced",54
Indian Institute of Engineering Science and Technology (IIEST),4.4,West Bengal,B.Tech / B.E.,"₹5,21,000",JEE Main,56
Dr BR Ambedkar National Institute of Technology (NIT),3.4,Punjab,B.Tech / B.E.,"₹4,74,000","JEE Main, JEE Advanced",42
Indian Institute of Technology Jammu,5,Jammu & Kashmir,B.Tech / B.E.,"₹10,00,000","JEE Advanced, JEE Main",
Indian Institute of Technology Tirupati,5,Andhra Pradesh,B.Tech / B.E.,"₹4,34,500","JEE Advanced, JEE Main",46
Manipal University,4.3,Rajasthan,B.Tech / B.E.,"₹9,77,500",MU OET,27
Manipal Institute of Technology,4.5,Karnataka,B.Tech / B.E.,"₹4,26,500",MET Exam,51
Madan Mohan Malaviya University of Technology,4,Uttar Pradesh,B.Tech / B.E.,"₹6,00,000",UPSEE,
Indian Institute of Space Science and Technology,4,Kerala,B.Tech / B.E.,"₹3,87,000",Highest Package,17
National Institute of Technology,4,Jharkhand,B.Tech / B.E.,"₹6,28,000","JEE Main, JEE Advanced",85
National Institute of Technology (NIT),4.1,Meghalaya,B.Tech / B.E.,"₹7,64,000","JEE Main, JEE Advanced",11
Jain University,3.6,Karnataka,B.Tech / B.E.,"₹8,47,000",-,
National Institute of Technology (NIT),4.2,Haryana,B.Tech / B.E.,"₹5,91,000","JEE Main, JEE Advanced",44
NIT Raipur,4.7,Chattisgarh,B.Tech / B.E.,"₹2,40,000","JEE Main, JEE Advanced",
Vel Tech Multi Tech Dr Rangarajan Dr Sakunthala Engineering College,3.4,Tamil Nadu,B.Tech / B.E.,Get Fee Details,TNEA,
Andhra University College of Engineering,3.6,Andhra Pradesh,B.Tech / B.E.,Get Fee Details,AP EAMCET,8
Chitkara University,4.1,Punjab,B.Tech / B.E.,"₹10,17,500",JEE Main,55
College of Engineering (COEP),4.2,Maharashtra,B.Tech / B.E.,"₹5,69,000",Maharashtra CET,39
SR University,4,Telangana,B.Tech / B.E.,"₹4,60,000","JEE Main, JEE Main, JEE Advanced",34
Panjab University,4.5,Punjab,B.Tech / B.E.,"₹4,30,000",JEE Main,
Jawaharlal Nehru Technological University (JNTUH),4,Telangana,B.Tech / B.E.,"₹2,00,000",JEE Main,15
CV Raman Global University,4.1,Odisha,B.Tech / B.E.,"₹2,36,000","JEE Main, OJEE",14
Indian Institute of Information Technology and Management - IIITM,3.9,Madhya Pradesh,B.Tech / B.E.,Get Fee Details,JEE Main,26
National Institute of Technology (NIT),4.4,Himachal Pradesh,B.Tech / B.E.,"₹5,01,000","JEE Main, JEE Advanced",112
Pandit Deendayal Energy University (PDEU),4.4,Gujarat,B.Tech / B.E.,"₹9,97,000",JEE Main,19
National Institute of Technology (NIT) - Puducherry,2.7,Puducherry,B.Tech / B.E.,"₹2,01,500","JEE Main, JEE Advanced",44
Sri Krishna College of Engineering and Technology - SKCET,3.6,Tamil Nadu,B.Tech / B.E.,"₹2,20,000",TNEA,8
Institute of Engineering and Management,4,WEST BENGAL,B.Tech / B.E.,"₹4,00,000",JEE Main,10
Dr MGR educational and research institute,4.2,TAMIL NADU,B.Tech / B.E.,"₹3,20,000",-,
Dr MGR educational and research institute,4.2,TAMIL NADU,B.Tech / B.E.,"₹3,20,000",-,
Vellore Institute of Technology - VIT University,4.1,TAMIL NADU,B.Tech / B.E.,"₹7,16,500",JEE Main,120
Birla Institute of Technology - BIT Mesra,3.7,JHARKHAND,B.Tech / B.E.,"₹10,00,000",JEE Main,27
Alliance University,3.8,KARNATAKA,B.Tech / B.E.,"₹11,09,000",JEE Main,18
KJ Somaiya College of Engineering (KJSCE),4.1,MAHARASHTRA,B.Tech / B.E.,"₹11,44,000","Maharashtra CET, JEE Main",13
Nirma University - [NU],4.1,GUJARAT,B.Tech / B.E.,"₹6,44,000",JEE Main,88
Hindustan University,4.1,TAMIL NADU,B.Tech / B.E.,"₹10,00,000",Highest Package,15
KL University (KLU),4,ANDHRA PRADESH,B.Tech / B.E.,"₹10,20,500",JEE Main,57
Indira Gandhi Delhi Technical University for Women (IGDTUW),3.3,DELHI NCR,B.Tech / B.E.,"₹5,24,000",JEE Main,70
National Institute of Technology (NIT) - Uttarakhand,4.2,UTTARAKHAND,B.Tech / B.E.,"₹2,57,500","JEE Main, JEE Advanced",
SRM University Chennai (SRM Institute of Science and Technology),3.9,TAMIL NADU,B.Tech / B.E.,"₹10,10,000",SRMJEEE,42
Harcourt Butler Technological University (HBTU),4.3,UTTAR PRADESH,B.Tech / B.E.,"₹3,33,000","JEE Main, CUET, UPSEE",9
VNR Vignana Jyothi Institute of Engineering & Technology,3.9,TELANGANA,B.Tech / B.E.,"₹5,40,000","AP EAMCET, JEE Main",10
Dayananda Sagar College of Engineering (DSCE),4.1,KARNATAKA,B.Tech / B.E.,"₹2,54,500",KCET,30
KIET Group of Institutions,4.5,UTTAR PRADESH,B.Tech / B.E.,"₹4,82,000",JEE Main,32
National Institute of Engineering (NIE),4.5,KARNATAKA,B.Tech / B.E.,"₹5,87,500",KCET,29
Govt Model Engineering College (MEC),5,KERALA,B.Tech / B.E.,"₹1,22,500",KEAM,24
Bannari Amman Institute of Technology,4.2,TAMIL NADU,B.Tech / B.E.,"₹2,98,000",TNEA,26
BMS College of Engineering (BMSCE),4.1,KARNATAKA,B.Tech / B.E.,"₹3,50,000","COMEDK UGET, KCET",45
Mepco Schlenk Engineering College,4.1,TAMIL NADU,B.Tech / B.E.,"₹1,80,000",TNEA,14
National Institute of Technology- NIT,4.5,Kerala,B.Tech / B.E.,"₹5,47,000","JEE Main, JEE Advanced",16
Siksha O Anusandhan University (SOA),3.2,Odisha,B.Tech / B.E.,Get Fee Details,JEE Main,22
Amrita Vishwa Vidyapeetham University,4.2,Tamil Nadu,B.Tech / B.E.,"₹19,40,000",JEE Main,5
Jamia Millia Islamia University,4.2,Delhi NCR,B.Tech / B.E.,"₹64,500",-,20
